title;text_cleaning;title_preprocessing;target_class
A Short History of Financial Euphoria;short history financial euphoria;['short', 'history', 'financial', 'euphoria'];social-humanaria
A Short History of Nearly Everything;short history nearly everything;['short', 'history', 'nearly', 'everything'];sains-tech
A Soldier of the Great War;soldier great war;['soldier', 'great', 'war'];social-humanaria
A Sound of Thunder and Other Stories;sound thunder story;['sound', 'thunder', 'story'];general
A Splendid Exchange;splendid exchange;['splendid', 'exchange'];general
A Spy Among Friends;spy among friend;['spy', 'among', 'friend'];general
A Storm of Swords;storm sword;['storm', 'sword'];general
A Story Lately Told;story lately told;['story', 'lately', 'told'];general
A Tale of Two Cities;tale two city;['tale', 'two', 'city'];general
A Tan and Sandy Silence;tan sandy silence;['tan', 'sandy', 'silence'];general
A Theory of Justice;theory justice;['theory', 'justice'];general
A Thousand Splendid Suns;thousand splendid sun;['thousand', 'splendid', 'sun'];general
A Thread Across the Ocean;thread across ocean;['thread', 'across', 'ocean'];sains-tech
A Time for New Dreams;time new dream;['time', 'new', 'dream'];general
A Tree Grows in Brooklyn;tree grows brooklyn;['tree', 'grows', 'brooklyn'];general
A Universe from Nothing;universe nothing;['universe', 'nothing'];sains-tech
A Vast Machine;vast machine;['vast', 'machine'];sains-tech
A Very Expensive Poison;expensive poison;['expensive', 'poison'];general
A Virtuous Woman;virtuous woman;['virtuous', 'woman'];general
A Walk in the Woods;walk wood;['walk', 'wood'];general
A Wanted Man;wanted man;['wanted', 'man'];general
A Way of Being;way;['way'];general
A Whack on the Side of the Head;whack side head;['whack', 'side', 'head'];general
A Whole New Mind;whole new mind;['whole', 'new', 'mind'];general
A Woman Makes a Plan;woman make plan;['woman', 'make', 'plan'];general
A World Lit Only by Fire;world lit fire;['world', 'lit', 'fire'];general
A World-Class Education;worldclass education;['worldclass', 'education'];general
A la recherche du temps perdu;la recherche du temp perdu;['la', 'recherche', 'du', 'temp', 'perdu'];general
AI Superpowers;ai superpower;['ai', 'superpower'];general
ALEC;alec;['alec'];general
About My Mother;mother;['mother'];general
About Your Father and Other Celebrities I Have Known;father celebrity known;['father', 'celebrity', 'known'];general
Abraham Lincoln;abraham lincoln;['abraham', 'lincoln'];general
Absolute Tao;absolute tao;['absolute', 'tao'];general
Absurdistan;absurdistan;['absurdistan'];general
Abundance;abundance;['abundance'];sains-tech
Academically Adrift;academically adrift;['academically', 'adrift'];general
Accidental Presidents;accidental president;['accidental', 'president'];general
Accounting for Tastes;accounting taste;['accounting', 'taste'];general
Acid Test;acid test;['acid', 'test'];general
Across Realtime;across realtime;['across', 'realtime'];general
Across The Fence;across fence;['across', 'fence'];general
Acts of Love;act love;['act', 'love'];general
Advanced Style;advanced style;['advanced', 'style'];general
Adventures of Huckleberry Finn;adventure huckleberry finn;['adventure', 'huckleberry', 'finn'];general
Adventures of a Bystander;adventure bystander;['adventure', 'bystander'];general
Adverbs;adverb;['adverb'];general
Advertising Secrets of the Written Word;advertising secret written word;['advertising', 'secret', 'written', 'word'];social-humanaria
Aeneid;aeneid;['aeneid'];general
Affective Neuroscience;affective neuroscience;['affective', 'neuroscience'];sains-tech
Against Empathy;empathy;['empathy'];general
Against the Gods;god;['god'];general
Age Of Reason;age reason;['age', 'reason'];general
Age and Guile;age guile;['age', 'guile'];general
Age of Ambition;age ambition;['age', 'ambition'];general
Age of Propaganda;age propaganda;['age', 'propaganda'];general
Ain't I a Woman;aint woman;['aint', 'woman'];general
Aion;aion;['aion'];sains-tech
Airframe;airframe;['airframe'];general
Al Franken;al franken;['al', 'franken'];general
Alas, Babylon;ala babylon;['ala', 'babylon'];general
Albert Einstein;albert einstein;['albert', 'einstein'];general
Alexander Hamilton;alexander hamilton;['alexander', 'hamilton'];general
Alexander and the Terrible, Horrible, No Good, Very Bad Day;alexander terrible horrible good bad day;['alexander', 'terrible', 'horrible', 'good', 'bad', 'day'];general
Alice in Wonderland;alice wonderland;['alice', 'wonderland'];general
Alien vs. Predator;alien v predator;['alien', 'v', 'predator'];general
All About Love;love;['love'];general
All Marketers are Liars;marketer liar;['marketer', 'liar'];social-humanaria
All Out War;war;['war'];social-humanaria
All Over but the Shoutin';shoutin;['shoutin'];general
All the Trouble in the World;trouble world;['trouble', 'world'];general
Already Free;already free;['already', 'free'];sains-tech
Altered Carbon;altered carbon;['altered', 'carbon'];general
Altered States of Consciousness;altered state consciousness;['altered', 'state', 'consciousness'];general
Altered Traits;altered trait;['altered', 'trait'];sains-tech
Amarcord;amarcord;['amarcord'];general
American Buffalo;american buffalo;['american', 'buffalo'];general
American Lion;american lion;['american', 'lion'];general
American Nations;american nation;['american', 'nation'];general
American Prison;american prison;['american', 'prison'];general
American Prometheus;american prometheus;['american', 'prometheus'];general
Americanah;americanah;['americanah'];general
Amusing Ourselves to Death;amusing death;['amusing', 'death'];general
An American Marriage;american marriage;['american', 'marriage'];general
An Anthropologist On Mars;anthropologist mar;['anthropologist', 'mar'];sains-tech
An Apology for the Builder;apology builder;['apology', 'builder'];general
An Autobiography by Theodore Roosevelt;autobiography theodore roosevelt;['autobiography', 'theodore', 'roosevelt'];social-humanaria
An Autobiography of Anthony Trollope;autobiography anthony trollope;['autobiography', 'anthony', 'trollope'];social-humanaria
An Elegant Defense;elegant defense;['elegant', 'defense'];sains-tech
An Elementary Primer For Gauge Theory;elementary primer gauge theory;['elementary', 'primer', 'gauge', 'theory'];sains-tech
An Empire of Wealth;empire wealth;['empire', 'wealth'];general
An Everyone Culture;everyone culture;['everyone', 'culture'];social-humanaria
An Inconvenient Truth;inconvenient truth;['inconvenient', 'truth'];sains-tech
An Outline of Psycho-Analysis;outline psychoanalysis;['outline', 'psychoanalysis'];sains-tech
Analysis, Manifolds and Physics, Part 1;analysis manifold physic part;['analysis', 'manifold', 'physic', 'part'];sains-tech
Andrew Carnegie;andrew carnegie;['andrew', 'carnegie'];general
Andy Grove;andy grove;['andy', 'grove'];general
Angel in the Whirlwind;angel whirlwind;['angel', 'whirlwind'];general
Angle of Repose;angle repose;['angle', 'repose'];general
Animal Farm;animal farm;['animal', 'farm'];general
Anna Karenina;anna karenina;['anna', 'karenina'];general
Annals of the Former World;annals former world;['annals', 'former', 'world'];sains-tech
Anne Frank;anne frank;['anne', 'frank'];general
Annie John;annie john;['annie', 'john'];general
Answer to Job;answer job;['answer', 'job'];general
Anthem;anthem;['anthem'];general
Anthropic Bias;anthropic bias;['anthropic', 'bias'];general
Antifragile;antifragile;['antifragile'];general
Archer's Goon;archer goon;['archer', 'goon'];general
Architects of the Web;architect web;['architect', 'web'];sains-tech
Army of None;army none;['army', 'none'];general
Art in the Blood;art blood;['art', 'blood'];social-humanaria
Artemis;artemis;['artemis'];social-humanaria
Arthur Ashe;arthur ashe;['arthur', 'ashe'];social-humanaria
As A Man Thinketh;man thinketh;['man', 'thinketh'];general
As I Lay Dying;lay dying;['lay', 'dying'];general
Asimov's New Guide to Science;asimov new guide science;['asimov', 'new', 'guide', 'science'];sains-tech
Ask the Dust;ask dust;['ask', 'dust'];general
Aspects of Quantum Field Theory in Curved Spacetime;aspect quantum field theory curved spacetime;['aspect', 'quantum', 'field', 'theory', 'curved', 'spacetime'];sains-tech
Astrophysics for People in a Hurry;astrophysics people hurry;['astrophysics', 'people', 'hurry'];sains-tech
Asymmetry;asymmetry;['asymmetry'];general
At Home;home;['home'];general
At Home in the Universe;home universe;['home', 'universe'];sains-tech
At Play in the Fields of the Lord;play field lord;['play', 'field', 'lord'];general
At the Drive-In Volcano;drivein volcano;['drivein', 'volcano'];general
Atlas Shrugged;atlas shrugged;['atlas', 'shrugged'];general
Atomic Habits;atomic habit;['atomic', 'habit'];general
Atrocities;atrocity;['atrocity'];general
Au Contraire!;au contraire;['au', 'contraire'];general
Auberge Of The Flowering Hearth;auberge flowering hearth;['auberge', 'flowering', 'hearth'];sains-tech
Autobiographies;autobiography;['autobiography'];social-humanaria
Autobiography of a Spiritually Incorrect Mystic;autobiography spiritually incorrect mystic;['autobiography', 'spiritually', 'incorrect', 'mystic'];social-humanaria
Autobiography of a Yogi;autobiography yogi;['autobiography', 'yogi'];social-humanaria
Average Is Over;average;['average'];general
Awake in the Wild;awake wild;['awake', 'wild'];general
Awaken the Giant Within;awaken giant within;['awaken', 'giant', 'within'];general
Awakening Joy;awakening joy;['awakening', 'joy'];general
Awakening Spirits;awakening spirit;['awakening', 'spirit'];general
Awakenings;awakening;['awakening'];sains-tech
Awareness;awareness;['awareness'];social-humanaria
B;b;['b'];general
Babel-17 / Empire Star;babel empire star;['babel', 'empire', 'star'];general
Back Roads;back road;['back', 'road'];general
Backwards Days;backwards day;['backwards', 'day'];social-humanaria
Bad Blood;bad blood;['bad', 'blood'];general
Bad Luck and Trouble;bad luck trouble;['bad', 'luck', 'trouble'];general
Bad Science;bad science;['bad', 'science'];general
Ball Four;ball four;['ball', 'four'];general
Ballet Shoes;ballet shoe;['ballet', 'shoe'];general
Barbarian Days;barbarian day;['barbarian', 'day'];general
Barrel Fever;barrel fever;['barrel', 'fever'];general
Basic Algebra I;basic algebra;['basic', 'algebra'];general
Basic Economics;basic economics;['basic', 'economics'];social-humanaria
Bass Culture;bass culture;['bass', 'culture'];social-humanaria
Batman;batman;['batman'];general
Battle Cry of Freedom;battle cry freedom;['battle', 'cry', 'freedom'];general
Battle Studies;battle study;['battle', 'study'];general
Beating Back the Devil;beating back devil;['beating', 'back', 'devil'];sains-tech
Becoming;becoming;['becoming'];general
Becoming Steve Jobs;becoming steve job;['becoming', 'steve', 'job'];general
Becoming Wise;becoming wise;['becoming', 'wise'];general
Becoming a Category of One;becoming category one;['becoming', 'category', 'one'];general
Behave;behave;['behave'];sains-tech
Behind the Beautiful Forevers;behind beautiful forevers;['behind', 'beautiful', 'forevers'];general
Behind the Cloud;behind cloud;['behind', 'cloud'];general
Behold the Dreamers;behold dreamer;['behold', 'dreamer'];general
Being Nixon;nixon;['nixon'];general
Being Wrong;wrong;['wrong'];sains-tech
Believe Me;believe;['believe'];general
Beloved Demons;beloved demon;['beloved', 'demon'];general
Benjamin Franklin;benjamin franklin;['benjamin', 'franklin'];general
Beowulf;beowulf;['beowulf'];general
Berlin Noir;berlin noir;['berlin', 'noir'];general
Best American Poetry;best american poetry;['best', 'american', 'poetry'];general
Best Evidence;best evidence;['best', 'evidence'];general
Between the World and Me;world;['world'];general
Beyond Band of Brothers;beyond band brother;['beyond', 'band', 'brother'];general
Beyond Entrepreneurship;beyond entrepreneurship;['beyond', 'entrepreneurship'];general
Beyond Good & Evil;beyond good evil;['beyond', 'good', 'evil'];general
Beyond Ideology;beyond ideology;['beyond', 'ideology'];general
Beyond Religion;beyond religion;['beyond', 'religion'];general
Beyond Smoke and Mirrors;beyond smoke mirror;['beyond', 'smoke', 'mirror'];general
Beyond Words;beyond word;['beyond', 'word'];sains-tech
Beyond the Crash;beyond crash;['beyond', 'crash'];general
Big Cats;big cat;['big', 'cat'];general
Big History;big history;['big', 'history'];social-humanaria
Big World, Small Planet;big world small planet;['big', 'world', 'small', 'planet'];general
Billion Dollar Whale;billion dollar whale;['billion', 'dollar', 'whale'];general
Biography of the Dollar;biography dollar;['biography', 'dollar'];social-humanaria
Biohazard;biohazard;['biohazard'];general
Bird by Bird;bird bird;['bird', 'bird'];general
Bit Literacy;bit literacy;['bit', 'literacy'];general
Black Beauty;black beauty;['black', 'beauty'];general
Black Box Thinking;black box thinking;['black', 'box', 'thinking'];general
Black Edge;black edge;['black', 'edge'];general
Black Elk;black elk;['black', 'elk'];general
Black Rednecks & White Liberals;black redneck white liberal;['black', 'redneck', 'white', 'liberal'];general
Black Swan Green;black swan green;['black', 'swan', 'green'];general
Black and Blue;black blue;['black', 'blue'];general
Blankie;blankie;['blankie'];general
Bleak House;bleak house;['bleak', 'house'];general
Blink;blink;['blink'];general
Blitzscaling;blitzscaling;['blitzscaling'];general
Blood Meridian;blood meridian;['blood', 'meridian'];general
Blood and Guts in High School;blood gut high school;['blood', 'gut', 'high', 'school'];general
Blood and Thunder;blood thunder;['blood', 'thunder'];general
Bloodlands;bloodlands;['bloodlands'];general
Blue Highways;blue highway;['blue', 'highway'];general
Blue Mind;blue mind;['blue', 'mind'];sains-tech
Blue Ocean Strategy;blue ocean strategy;['blue', 'ocean', 'strategy'];general
Blue Trout and Black Truffles;blue trout black truffle;['blue', 'trout', 'black', 'truffle'];general
Blueprint;blueprint;['blueprint'];sains-tech
Body by Science;body science;['body', 'science'];general
Bogart;bogart;['bogart'];social-humanaria
Bogle On Mutual Funds;bogle mutual fund;['bogle', 'mutual', 'fund'];general
Book of Longing;book longing;['book', 'longing'];general
Born Standing Up;born standing;['born', 'standing'];general
Born a Crime;born crime;['born', 'crime'];general
Born to Run;born run;['born', 'run'];general
Boundaries;boundary;['boundary'];general
Boyd;boyd;['boyd'];general
Brain Architecture;brain architecture;['brain', 'architecture'];sains-tech
Brain Rules;brain rule;['brain', 'rule'];sains-tech
Brave Enough;brave enough;['brave', 'enough'];general
Brave Men;brave men;['brave', 'men'];general
Brave New War;brave new war;['brave', 'new', 'war'];social-humanaria
Brave New World;brave new world;['brave', 'new', 'world'];general
Breakfast at the Victory;breakfast victory;['breakfast', 'victory'];general
Breaking The Habit of Being Yourself;breaking habit;['breaking', 'habit'];general
Breaking the Male Code;breaking male code;['breaking', 'male', 'code'];general
Breakthrough Advertising;breakthrough advertising;['breakthrough', 'advertising'];social-humanaria
Breath, Eyes, Memory;breath eye memory;['breath', 'eye', 'memory'];sains-tech
Breathe;breathe;['breathe'];general
Brief Interviews with Hideous Men;brief interview hideous men;['brief', 'interview', 'hideous', 'men'];general
Bright Lights, Big City;bright light big city;['bright', 'light', 'big', 'city'];general
Bright Orange for the Shroud;bright orange shroud;['bright', 'orange', 'shroud'];general
Bringing Down the House;bringing house;['bringing', 'house'];general
Broken;broken;['broken'];general
Broken Angels;broken angel;['broken', 'angel'];general
Broken Genius;broken genius;['broken', 'genius'];general
Brothers Forever;brother forever;['brother', 'forever'];general
Buddhism without Beliefs;buddhism without belief;['buddhism', 'without', 'belief'];general
Buffett;buffett;['buffett'];general
Building a StoryBrand;building storybrand;['building', 'storybrand'];general
Building on Bedrock;building bedrock;['building', 'bedrock'];general
Built To The Hilt;built hilt;['built', 'hilt'];general
Built from Scratch;built scratch;['built', 'scratch'];general
Built to Last;built last;['built', 'last'];general
Bull!;bull;['bull'];general
Burr;burr;['burr'];general
Bury the Chains;bury chain;['bury', 'chain'];general
Business Adventures;business adventure;['business', 'adventure'];social-humanaria
Business Boutique;business boutique;['business', 'boutique'];social-humanaria
But What If We're Wrong?;wrong;['wrong'];general
Buzzed;buzzed;['buzzed'];general
By Honor Bound;honor bound;['honor', 'bound'];general
C Programming Language;c programming language;['c', 'programming', 'language'];sains-tech
COAN The Man, The Myth, The Method;coan man myth method;['coan', 'man', 'myth', 'method'];general
Calculus Made Easy;calculus made easy;['calculus', 'made', 'easy'];general
Calculus On Manifolds;calculus manifold;['calculus', 'manifold'];sains-tech
California;california;['california'];general
Can Love Last?;love last;['love', 'last'];general
Can You Forgive Her?;forgive;['forgive'];general
Can't Hurt Me;cant hurt;['cant', 'hurt'];general
Cancer Ward;cancer ward;['cancer', 'ward'];sains-tech
Cancer as a Metabolic Disease;cancer metabolic disease;['cancer', 'metabolic', 'disease'];sains-tech
Candide;candide;['candide'];general
Cane River;cane river;['cane', 'river'];general
Capital in the Twenty-First Century;capital twentyfirst century;['capital', 'twentyfirst', 'century'];general
Capitalism without Capital;capitalism without capital;['capitalism', 'without', 'capital'];general
Car;car;['car'];general
Carbonel;carbonel;['carbonel'];general
Carl Friedrich Gauss;carl friedrich gauss;['carl', 'friedrich', 'gauss'];general
Carrie;carrie;['carrie'];general
Carry On, Mr. Bowditch;carry mr bowditch;['carry', 'mr', 'bowditch'];general
Cat's Cradle;cat cradle;['cat', 'cradle'];general
Catch-22;catch;['catch'];general
Catching the Big Fish;catching big fish;['catching', 'big', 'fish'];general
Catherine the Great;catherine great;['catherine', 'great'];general
Cent Éléphants sur un Brin D'Herbe;cent éléphants sur un brin dherbe;['cent', 'éléphants', 'sur', 'un', 'brin', 'dherbe'];general
Cervantes;cervantes;['cervantes'];general
Change.edu;changeedu;['changeedu'];general
Changes in the Land;change land;['change', 'land'];general
Changing Minds;changing mind;['changing', 'mind'];sains-tech
Changing on the Job;changing job;['changing', 'job'];general
Chapterhouse;chapterhouse;['chapterhouse'];general
Character Counts;character count;['character', 'count'];general
Charlie Chan;charlie chan;['charlie', 'chan'];general
Chasing Hillary;chasing hillary;['chasing', 'hillary'];general
Childhood's End;childhood end;['childhood', 'end'];general
Children of Dune;child dune;['child', 'dune'];general
Children with Enemies;child enemy;['child', 'enemy'];general
China Airborne;china airborne;['china', 'airborne'];general
Chronicles of Narnia Box Set;chronicle narnia box set;['chronicle', 'narnia', 'box', 'set'];general
Churchill;churchill;['churchill'];general
Chéri;chéri;['chéri'];general
Cinnamon Skin;cinnamon skin;['cinnamon', 'skin'];general
Cirque du Soleil;cirque du soleil;['cirque', 'du', 'soleil'];general
Citizen;citizen;['citizen'];general
City of Thieves;city thief;['city', 'thief'];general
Civilian Warriors;civilian warrior;['civilian', 'warrior'];social-humanaria
Civilisation;civilisation;['civilisation'];general
Class Warfare;class warfare;['class', 'warfare'];social-humanaria
Classic Indian Cooking;classic indian cooking;['classic', 'indian', 'cooking'];general
Clear and Simple as the Truth;clear simple truth;['clear', 'simple', 'truth'];general
Clocks and Culture;clock culture;['clock', 'culture'];social-humanaria
Code Girls;code girl;['code', 'girl'];general
Codependent No More;codependent;['codependent'];general
Colder Than Hell;colder hell;['colder', 'hell'];general
Collapse;collapse;['collapse'];general
Colloquial Turkish;colloquial turkish;['colloquial', 'turkish'];general
Committed;committed;['committed'];general
Common Sense on Mutual Funds;common sense mutual fund;['common', 'sense', 'mutual', 'fund'];general
Common Stocks and Uncommon Profits;common stock uncommon profit;['common', 'stock', 'uncommon', 'profit'];general
Company Commander;company commander;['company', 'commander'];general
Complexity;complexity;['complexity'];sains-tech
Computation;computation;['computation'];sains-tech
Concepts of Particle Physics;concept particle physic;['concept', 'particle', 'physic'];sains-tech
Conceptual Physics;conceptual physic;['conceptual', 'physic'];sains-tech
Concorde;concorde;['concorde'];sains-tech
Conquest, Tribute and Trade;conquest tribute trade;['conquest', 'tribute', 'trade'];general
Conscious Business;conscious business;['conscious', 'business'];social-humanaria
Consider Phlebas;consider phlebas;['consider', 'phlebas'];general
Consider the Lobster and Other Essays;consider lobster essay;['consider', 'lobster', 'essay'];general
Conspiracy;conspiracy;['conspiracy'];general
Conversations with Friends;conversation friend;['conversation', 'friend'];general
Conversations with God, Book 1;conversation god book;['conversation', 'god', 'book'];general
Conversations with God, Books 2 & 3;conversation god book;['conversation', 'god', 'book'];general
Conversations with Major Dick Winters;conversation major dick winter;['conversation', 'major', 'dick', 'winter'];general
Convict Conditioning;convict conditioning;['convict', 'conditioning'];general
Cooked;cooked;['cooked'];general
Cooking with the Seasons;cooking season;['cooking', 'season'];general
Core Archery;core archery;['core', 'archery'];general
Cosmic Consciousness;cosmic consciousness;['cosmic', 'consciousness'];general
Cosmos;cosmos;['cosmos'];sains-tech
Count Zero;count zero;['count', 'zero'];general
Courage;courage;['courage'];general
Coyote America;coyote america;['coyote', 'america'];sains-tech
Cradle to Cradle;cradle cradle;['cradle', 'cradle'];general
Create Your Own Religion;create religion;['create', 'religion'];general
Creating the Twentieth Century;creating twentieth century;['creating', 'twentieth', 'century'];general
Creation;creation;['creation'];general
Creative Selection;creative selection;['creative', 'selection'];general
Creativity and the Brain;creativity brain;['creativity', 'brain'];sains-tech
Creativity, Inc.;creativity inc;['creativity', 'inc'];general
Crime and Punishment;crime punishment;['crime', 'punishment'];general
Crime in Progress;crime progress;['crime', 'progress'];general
Crossing the Chasm;crossing chasm;['crossing', 'chasm'];general
Crowdsourcing;crowdsourcing;['crowdsourcing'];general
Crucial Conversations;crucial conversation;['crucial', 'conversation'];general
Crush It!;crush;['crush'];general
Cry, the Beloved Country;cry beloved country;['cry', 'beloved', 'country'];general
Cryptonomicon;cryptonomicon;['cryptonomicon'];general
Cultural Amnesia;cultural amnesia;['cultural', 'amnesia'];social-humanaria
Cultural Strategy;cultural strategy;['cultural', 'strategy'];social-humanaria
Cumulus;cumulus;['cumulus'];general
Cyrano de Bergerac;cyrano de bergerac;['cyrano', 'de', 'bergerac'];general
DMT;dmt;['dmt'];general
Dad Is Fat;dad fat;['dad', 'fat'];general
Daemon;daemon;['daemon'];general
Daily Rituals;daily ritual;['daily', 'ritual'];general
Dancing Naked in the Mind Field;dancing naked mind field;['dancing', 'naked', 'mind', 'field'];general
Dancing in the Glory of Monsters;dancing glory monster;['dancing', 'glory', 'monster'];general
Dapper Dan;dapper dan;['dapper', 'dan'];general
Daring Greatly;daring greatly;['daring', 'greatly'];general
Das Energi;da energi;['da', 'energi'];general
Das Kapital;da kapital;['da', 'kapital'];general
Data-Driven Marketing;datadriven marketing;['datadriven', 'marketing'];sains-tech
Daughter of Fortune;daughter fortune;['daughter', 'fortune'];general
Days of Rage;day rage;['day', 'rage'];general
De Re Militari;de militari;['de', 'militari'];general
Dealers of Lightning;dealer lightning;['dealer', 'lightning'];general
Dealing with China;dealing china;['dealing', 'china'];general
Dear Founder;dear founder;['dear', 'founder'];general
Death;death;['death'];general
Death of a Salesman;death salesman;['death', 'salesman'];social-humanaria
Death's End;death end;['death', 'end'];general
Debt;debt;['debt'];general
Debt-Free Degree;debtfree degree;['debtfree', 'degree'];general
Decisive;decisive;['decisive'];general
Decoded;decoded;['decoded'];general
Deep;deep;['deep'];general
Deep Learning;deep learning;['deep', 'learning'];general
Deep Medicine;deep medicine;['deep', 'medicine'];general
Deep Simplicity;deep simplicity;['deep', 'simplicity'];sains-tech
Deep Survival;deep survival;['deep', 'survival'];sains-tech
Deep Work;deep work;['deep', 'work'];general
Delivering Happiness;delivering happiness;['delivering', 'happiness'];general
