title,author,google_id,recommender,recommender_count,category,publication_date,pages,image,url_image,Unnamed: 4,target_class
A Path with Heart,Jack Kornfield,DADATu5J_2YC,Tara Brach,1,"Body, Mind & Spirit",2009,384.0,,,,social-humanaria
A Pattern Language,Christopher Alexander,hwAHmktpk5IC,Gretchen Rubin|Liz Lambert|Naval Ravikant|Patrick Collison|Stewart Brand,5,Architecture,1977,1171.0,,,,general
A Peace to End All Peace,David Fromkin,OV0i1mJdNSwC,Larry Ellison,1,History,2010,672.0,,,,general
A People's History of the United States,Howard Zinn,DhsiGEoATiMC,Alex Honnold|Lisa Ling,2,History,2012,619.0,,,,social-humanaria
A Piece of the Action,Joe Nocera,htSFmzfGsBkC,Warren Buffett,1,Business & Economics,2013,464.0,,,,general
A Planet of Viruses,Carl Zimmer,OlrjpWBBHGUC,Jonathan Eisen,1,Medical,2012,109.0,,,,general
A Plea for the Animals,Matthieu Ricard,huD4DAAAQBAJ,Eric Ripert,1,NATURE,2016,341.0,,,,sains-tech
A Programming Language,Kenneth E. Iverson,zR81AAAAIAAJ,Alan Kay,1,Algorithms,1962,286.0,,,,sains-tech
A Quiet Flame,Philip Kerr,uqEQtzwWBd4C,Lewis Cantley,1,Argentina,2008,413.0,,,,general
A Rap on Race,Margaret Mead,Ln-ZMQEACAAJ,Maria Popova,1,Social Science,1992,231.0,,,,general
A River Runs Through It,Norman Maclean,UZYtDwAAQBAJ,M. Sanjayan,1,Fiction,2017,246.0,,,,general
A Sand County Almanac and Sketches Here and There,Aldo Leopold,LICERWI0YJYC,Mike Phillips,1,Fiction,1989,228.0,,,,general
A Second Chance,Catherine Hoke,QSKhswEACAAJ,Seth Godin,1,,2018,212.0,,,,general
A Sense of Where You Are,John McPhee,QW61AAAAIAAJ,Daniel Pink|Jim Collins|Paul Graham,3,Biography & Autobiography,1978,144.0,,,,general
A Separate Peace,John Knowles,_cBZabiaOm8C,Bill Gates,1,Fiction,1996,208.0,,,,general
A Short History of Financial Euphoria,John Kenneth Galbraith,MSV2qipgf9IC,Howard Marks,1,Business & Economics,1994,128.0,,,,social-humanaria
A Short History of Nearly Everything,Bill Bryson,_CWlKRYLbIwC,Amanda Palmer|Stewart Brand|Warren Buffett,3,Science,2012,624.0,,,,social-humanaria
A Soldier of the Great War,Mark Helprin,SEAt2YDhdo8C,Naval Ravikant,1,Fiction,2005,800.0,,,,social-humanaria
A Sound of Thunder and Other Stories,Ray Bradbury,DfkUY6PyKAUC,Kara Swisher,1,Fiction,2013,352.0,,,,general
A Splendid Exchange,William J. Bernstein,cc0tUyvoYfkC,Nick Szabo,1,History,2008,467.0,,,,general
A Spy Among Friends,Ben Macintyre,32H4AgAAQBAJ,Marc Andreessen,1,"Espionage, Soviet",2014,352.0,,,,general
A Storm of Swords,George R. R. Martin,1CVcu9TpO5gC,Elon Musk,1,Fiction,2013,973.0,,,,general
A Story Lately Told,Anjelica Huston,FTwtAAAAQBAJ,Paul Graham,1,Biography & Autobiography,2013,272.0,,,,general
A Tale of Two Cities,Charles Dickens,dU51N-dxEDcC,Amelia Boone|J.K. Rowling|Oprah Winfrey,3,Fiction,2012,514.0,,,,general
A Tan and Sandy Silence,John D. MacDonald,VVrsk54xtkQC,Mike Rowe,1,Fiction,2013,336.0,,,,general
A Theory of Justice,John Rawls,kvpby7HtAe0C,Ann Miura-Ko,1,Law,2009,560.0,,,,general
A Thousand Splendid Suns,Khaled Hosseini,3vo0NQbIN2YC,Ann Miura-Ko|Emma Watson|James Altucher,3,Fiction,2008,419.0,,,,general
A Thread Across the Ocean,John Steele Gordon,kc-MPwAACAAJ,Paul Graham,1,Technology & Engineering,2008,240.0,,,,general
A Time for New Dreams,Ben Okri,S4FwDwAAQBAJ,Richard Branson,1,Literary Collections,2019,160.0,,,,general
A Tree Grows in Brooklyn,Betty Smith,jalsLkb1GTUC,Stephen Dubner,1,Fiction,2009,528.0,,,,general
A Universe from Nothing,Lawrence M. Krauss,nfGlsiDGbxkC,Charlie Munger,1,Science,2012,224.0,,,,general
A Vast Machine,Paul N. Edwards,K9_LsJBCqWMC,Patrick Collison,1,Technology & Engineering,2010,552.0,,,,general
A Very Expensive Poison,Luke Harding,y-zJDwAAQBAJ,Marc Andreessen,1,Performing Arts,2020,128.0,,,,general
A Virtuous Woman,Kaye Gibbons,WJtoSTRcIYcC,Oprah Winfrey,1,Fiction,1997,165.0,,,,general
A Walk in the Woods,Bill Bryson,WnyDgV_vNhsC,Tim Ferriss,1,Travel,2012,304.0,,,,general
A Wanted Man,Lee Child,-hVPjgEACAAJ,Malcolm Gladwell,1,,2013,606.0,,,,general
A Way of Being,Carl Rogers,ymS0e1jZmtMC,Jordan Peterson,1,Social Science,1995,395.0,,,,general
A Whack on the Side of the Head,Roger von Oech,16aecQAACAAJ,Neville Medhora,1,Self-Help,2008,256.0,,,,general
A Whole New Mind,Daniel Pink,3Xb_MDJQZnYC,Ray Dalio,1,Business & Economics,2006,275.0,,,,general
A Woman Makes a Plan,Maye Musk,BDinDwAAQBAJ,Elon Musk,1,Self-Help,2019,224.0,,,,general
A World Lit Only by Fire,William Manchester,Ku2PNGO5Y6sC,Dave Elitch,1,History,2009,320.0,,,,general
A World-Class Education,Vivien Stewart,Kl7VLXGINeYC,Bill Gates,1,Education,2012,191.0,,,,general
A la recherche du temps perdu,Marcel Proust,D54_AQAAIAAJ,Frank Blake,1,,1954,,,,,general
AI Superpowers,Kai-Fu Lee,Xb9wDwAAQBAJ,Yuval Noah Harari,1,Business & Economics,2018,272.0,,,,general
ALEC,Eddie Campbell,RK64AgAAQBAJ,Neil Gaiman,1,Comics & Graphic Novels,2013,128.0,,,,general
About My Mother,Peggy Rowe,bEhfuwEACAAJ,Mike Rowe,1,Biography & Autobiography,2018,192.0,,,,general
About Your Father and Other Celebrities I Have Known,Peggy Rowe,FT23DwAAQBAJ,Mike Rowe,1,Biography & Autobiography,2020,240.0,,,,general
Abraham Lincoln,John Hay,0iL7e-KCnmkC,Doris Kearns Goodwin,1,History,2009,522.0,,,,general
Absolute Tao,Osho,kY51CAAAQBAJ,Naval Ravikant,1,Philosophy,2012,208.0,,,,general
Absurdistan,Gary Shteyngart,ktimtwAACAAJ,Ev Williams,1,Fiction,2012,427.0,,,,general
Abundance,Peter H. Diamandis,U9CKBAAAQBAJ,Bill Gates|Richard Branson|Steve Jurvetson,3,Science,2014,432.0,,,,general
Academically Adrift,Richard Arum,A2lxFH5cgukC,Bill Gates,1,Education,2011,272.0,,,,general
Accidental Presidents,Jared Cohen,E2PHDwAAQBAJ,Ashton Kutcher|Eric Schmidt,2,History,2020,528.0,,,,general
Accounting for Tastes,Gary S. Becker,bloy3pwa_7YC,Eric Weinstein,1,Business & Economics,2009,292.0,,,,general
Acid Test,Tom Shroder,ApzFoQEACAAJ,Michael Pollan,1,History,2015,464.0,,,,general
Across Realtime,Vernor Vinge,raZiHQAACAAJ,Stewart Brand,1,,1994,544.0,,,,general
Across The Fence,John Stryker Meyer,trljewAACAAJ,Jocko Willink,1,"Vietnam War, 1961-1975",2011,356.0,,,,general
Acts of Love,Talulah Riley,qdvJDAEACAAJ,Elon Musk,1,Fiction,2019,304.0,,,,general
Advanced Style,Ari Seth Cohen,1bJvDwAAQBAJ,Dita Von Teese,1,Design,2013,32.0,,,,general
Adventures of Huckleberry Finn,Mark Twain,iZxnsSQgDckC,Daniel Pink|Richard Branson|Walter Isaacson,3,Literary Criticism,1985,417.0,,,,general
Adventures of a Bystander,Peter F. Drucker,6b7JMOdmD0MC,Stewart Brand,1,Biography & Autobiography,1999,344.0,,,,general
Adverbs,Daniel Handler,SzNrF7AvxTgC,Ev Williams,1,Fiction,2009,288.0,,,,general
Advertising Secrets of the Written Word,Joseph Sugarman,E_3tKAAACAAJ,Neville Medhora,1,Business & Economics,1998,312.0,,,,social-humanaria
Aeneid,Virgil,hFzwAgAAQBAJ,Mark Zuckerberg|Ryan Holiday,2,Literary Collections,2010,188.0,,,,general
Affective Neuroscience,Jaak Panksepp,qqcRGagyEuAC,Jordan Peterson,1,Medical,2004,480.0,,,,general
Against Empathy,Paul Bloom,_eslDAAAQBAJ,Vinod Khosla,1,Philosophy,2017,304.0,,,,general
Against the Gods,Peter L. Bernstein,G5TKA6B0pyEC,Howard Marks,1,Business & Economics,2012,400.0,,,,general
Age Of Reason,Thomas Paine,sqAOAAAAIAAJ,Neil deGrasse Tyson,1,Christianity,1827,172.0,,,,general
Age and Guile,P. J. O'Rourke,Q04KsqoDrNcC,Eric Weinstein,1,Humor,2007,368.0,,,,general
Age of Ambition,Evan Osnos,8DPvAgAAQBAJ,Patrick Collison,1,Political Science,2014,416.0,,,,general
Age of Propaganda,Anthony R. Pratkanis,9LsuMoEtSV4C,Ramit Sethi,1,Political Science,2001,416.0,,,,general
Ain't I a Woman,bell hooks,f2_fBQAAQBAJ,Emma Watson,1,Social Science,2014,206.0,,,,general
Aion,Carl Jung,ClKRjgEACAAJ,Jordan Peterson,1,Psychology,1968,333.0,,,,general
Airframe,Michael Crichton,hy7Vhdjoc2wC,Ev Williams,1,Fiction,2011,448.0,,,,general
Al Franken,Al Franken,nyn6DAAAQBAJ,Larry King,1,Biography & Autobiography,2017,416.0,,,,general
"Alas, Babylon",Pat Frank,Fh9Bi3-09-cC,Ben Shapiro,1,Fiction,2013,368.0,,,,general
Albert Einstein,Banesh Hoffmann,T_0DPAAACAAJ,Paul Graham,1,Physicists,1979,299.0,,,,general
Alexander Hamilton,Ron Chernow,4z5eL5SGjEoC,Travis Kalanick,1,Biography & Autobiography,2005,832.0,,,,general
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,JN6IRLJx0RcC,Ev Williams,1,Juvenile Fiction,2009,32.0,,,,general
Alice in Wonderland,Lewis Carroll,_Q4BBAAAQBAJ,Naval Ravikant|Richa Chadha,2,Juvenile Fiction,2014,72.0,,,,general
Alien vs. Predator,Michael Robbins,SC-ptkaj8UQC,Rolf Potts,1,Poetry,2012,88.0,,,,general
All About Love,bell hooks,A5ZDDwAAQBAJ,Emma Watson,1,Family & Relationships,2018,272.0,,,,general
All Marketers are Liars,Seth Godin,7wsPywAACAAJ,Joe Gebbia,1,Business & Economics,2012,220.0,,,,social-humanaria
All Out War,Sean Parnell,piwcygEACAAJ,Jocko Willink,1,Fiction,2020,496.0,,,,social-humanaria
All Out War,Tim Shipman,CU6oDAAAQBAJ,Marc Andreessen,1,History,2016,688.0,,,,social-humanaria
All Over but the Shoutin',Rick Bragg,Df9jzqT3Z8EC,Jason Calacanis,1,Biography & Autobiography,2010,352.0,,,,general
All the Trouble in the World,P. J. O'Rourke,Ouyr7shT8tsC,Eric Weinstein,1,Social Science,2007,340.0,,,,general
Already Free,Bruce Tift,xvptCQAAQBAJ,Tim Ferriss,1,Psychology,2015,344.0,,,,general
Altered Carbon,Richard K. Morgan,GIlAPgAACAAJ,Zooko Wilcox,1,Fiction,2008,422.0,,,,general
Altered States of Consciousness,Charles T. Tart,Srw9_fcbsXMC,Paul Stamets,1,Altered states of consciousness,1969,575.0,,,,general
Altered Traits,Daniel Goleman,e8IPDgAAQBAJ,Peter Attia,1,Psychology,2017,336.0,,,,general
Amarcord,Marcella Hazan,REB8NQEACAAJ,Samin Nosrat,1,Biography & Autobiography,2009,307.0,,,,general
American Buffalo,Steven Rinella,Qc3laE5ymFcC,Joe Rogan,1,Nature,2009,289.0,,,,general
American Lion,Jon Meacham,Ru6O7-Pc_NMC,Mark Zuckerberg,1,Biography & Autobiography,2009,483.0,,,,general
American Nations,Colin Woodard,Sb40EosBr90C,Jack Dorsey,1,History,2011,384.0,,,,general
American Prison,Shane Bauer,QrpMDwAAQBAJ,Barack Obama,1,Political Science,2018,368.0,,,,general
American Prometheus,Kai Bird,jfSn2RJZI9EC,David Blaine,1,Biography & Autobiography,2007,784.0,,,,general
Americanah,Chimamanda Ngozi Adichie,pbXbCwAAQBAJ,Barack Obama,1,Fiction,2016,704.0,,,,general
Amusing Ourselves to Death,Neil Postman,zGkhbPEjkRoC,Keith Rabois|Matt Mullenweg|Patrick Collison|Tristan Harris,4,Social Science,2006,184.0,,,,general
An American Marriage,Tayari Jones,45NRDwAAQBAJ,Barack Obama|Bill Gates|Oprah Winfrey,3,Fiction,2018,323.0,,,,general
An Anthropologist On Mars,Oliver Sacks,ShmSAgAAQBAJ,Jordan Peterson,1,Psychology,2014,340.0,,,,general
An Apology for the Builder,Nicholas Barbon,GGffmgEACAAJ,Marc Andreessen,1,Building,1685,37.0,,,,general
An Autobiography by Theodore Roosevelt,Theodore Roosevelt,VLTCDwAAQBAJ,Brandon Stanton,1,Fiction,2019,510.0,,,,social-humanaria
An Autobiography of Anthony Trollope,Anthony Trollope,NuafAgAAQBAJ,Paul Graham,1,Biography & Autobiography,2014,280.0,,,,social-humanaria
An Elegant Defense,Matt Richtel,pLRnDwAAQBAJ,Keith Rabois|Vinod Khosla,2,Science,2019,448.0,,,,general
An Elementary Primer For Gauge Theory,K Moriyasu,mzL1yGxTEQwC,Eric Weinstein,1,Technology & Engineering,1983,177.0,,,,general
An Empire of Wealth,John Steele Gordon,JgSkT7_3elcC,Paul Graham,1,Business & Economics,2004,460.0,,,,general
An Everyone Culture,Robert Kegan,pT1BCgAAQBAJ,Ray Dalio,1,Business & Economics,2016,336.0,,,,social-humanaria
An Inconvenient Truth,Al Gore,93M6C24ac9MC,Richard Branson,1,Science,2006,325.0,,,,general
An Outline of Psycho-Analysis,Sigmund Freud,QWmluQAACAAJ,Jordan Peterson,1,Psychology,2011,96.0,,,,sains-tech
"Analysis, Manifolds and Physics, Part 1",Yvonne Choquet-Bruhat,hUWEXphqLo8C,Eric Weinstein,1,Mathematics,1982,630.0,,,,sains-tech
Andrew Carnegie,David Nasaw,ni0EsmebjYwC,Paul Graham,1,Biography & Autobiography,2007,878.0,,,,general
Andrew Carnegie,Joseph Frazier Wall,5g5EDwAAQBAJ,Charlie Munger,1,Biography & Autobiography,1970,1137.0,,,,general
Andy Grove,Richard S. Tedlow,zQamXENAalkC,Keith Rabois,1,Biography & Autobiography,2007,568.0,,,,general
Angel in the Whirlwind,Benson Bobrick,3byOqsDeZd8C,John Crowley,1,History,2011,560.0,,,,general
Angle of Repose,Wallace Stegner,bmmMDQAAQBAJ,Bill Nye,1,Fiction,2014,632.0,,,,general
Animal Farm,George Orwell,VYWuCbFM4IMC,Daniel Pink|Jordan Peterson|Vlad Tenev|Whitney Cummings,4,Fiction,2013,110.0,,,,general
Anna Karenina,Leo Tolstoy,1DooDwAAQBAJ,Chelsea Handler|Jordan Peterson|Laura R Walker|Oprah Winfrey,4,Fiction,2016,896.0,,,,general
Annals of the Former World,John McPhee,GS81F0RNxesC,Daniel Pink,1,Science,2000,448.0,,,,general
Anne Frank,Anne Frank,RPQtDwAAQBAJ,Alice Little,1,Biography & Autobiography,2017,816.0,,,,general
Annie John,Jamaica Kincaid,-PHl-Y868BAC,Emma Watson,1,Fiction,1997,148.0,,,,general
Answer to Job,Carl Jung,sbAOAAAAQAAJ,Jordan Peterson,1,Bible,1984,194.0,,,,general
Anthem,Ayn Rand,lz2QMQ_kbVEC,Ev Williams,1,Fiction,2008,108.0,,,,general
Anthropic Bias,Nick Bostrom,PUtUAQAAQBAJ,Patrick Collison,1,Philosophy,2013,240.0,,,,general
Antifragile,Nassim Nicholas Taleb,QGaMDQAAQBAJ,Ev Williams|James Altucher|Matt Mullenweg|Naval Ravikant|Vlad Tenev,5,Business & Economics,2014,519.0,,,,general
Archer's Goon,Diana Wynne Jones,WlGzBgAAQBAJ,Neil Gaiman,1,Juvenile Fiction,2015,320.0,,,,general
Architects of the Web,Robert H. Reid,mhKNPwAACAAJ,Keith Rabois,1,Business & Economics,1999,416.0,,,,sains-tech
Army of None,Paul Scharre,CYV1twEACAAJ,Bill Gates,1,Computers,2019,448.0,,,,general
Art in the Blood,Bonnie MacBird,yOxeBwAAQBAJ,Alan Kay,1,Fiction,2015,336.0,,,,social-humanaria
Artemis,Andy Weir,qqg_DwAAQBAJ,Max Levchin,1,Fiction,2017,305.0,,,,social-humanaria
Arthur Ashe,Raymond Arsenault,ZLSkDwAAQBAJ,Barack Obama,1,Biography & Autobiography,2019,784.0,,,,social-humanaria
As A Man Thinketh,James Allen,GQwgAgAAQBAJ,Shay Carl|Tony Robbins,2,Religion,2013,60.0,,,,general
As I Lay Dying,William Faulkner,4sALAQAAMAAJ,Oprah Winfrey,1,Fiction,1990,561.0,,,,general
Asimov's New Guide to Science,Isaac Asimov,9d8eGgAACAAJ,Patrick Collison,1,Science,1993,880.0,,,,general
Ask the Dust,John Fante,HqE5Yb6MKKUC,Neil Strauss,1,"Authors, American",2002,198.0,,,,general
Aspects of Quantum Field Theory in Curved Spacetime,Stephen A. Fulling,Zo5_3cmtFEUC,Eric Weinstein,1,Mathematics,1989,315.0,,,,general
Astrophysics for People in a Hurry,Neil deGrasse Tyson,hx5DDQAAQBAJ,Vinod Khosla,1,Science,2017,144.0,,,,sains-tech
Asymmetry,Lisa Halliday,PNFFDwAAQBAJ,Barack Obama,1,Fiction,2018,275.0,,,,general
At Home,Bill Bryson,dXbkCwAAQBAJ,Mike Rowe,1,Households,2016,704.0,,,,general
At Home in the Universe,Stuart Kauffman,AQFpAgAAQBAJ,Naval Ravikant,1,Science,1996,336.0,,,,general
At Play in the Fields of the Lord,Peter Matthiessen,ZpfKJqF7CDsC,Sebastian Junger,1,Fiction,2012,384.0,,,,general
